location_id,business_date,bill_number,dupe_count,kept_id,all_ids
2342,2026-04-02,29512,2,49452968,49452968|49454667
2342,2026-04-02,29510,2,49452819,49452819|49454925
2430,2026-04-02,17396,2,49421343,49421343|49560781
2556,2026-04-02,22765,2,49455078,49455078|49457517
2408,2026-04-02,26908,2,49556927,49556927|49557093
2222,2026-04-02,56531,2,49554492,49554492|49555232
2425,2026-04-02,18453,2,49461039,49461039|49470463
2339,2026-04-02,28659,2,49555829,49555829|49557934
2426,2026-04-02,17557,2,49454710,49454710|49454724
2426,2026-04-02,17486,2,49446423,49446423|49446485
2287,2026-04-02,63831,2,49449507,49449507|49452242
2287,2026-04-02,63824,2,49449080,49449080|49450244
2287,2026-04-02,63798,2,49447558,49447558|49447575
2515,2026-04-02,26964,2,49460939,49460939|49460950
2338,2026-04-01,55426,2,49420737,49420737|49420762
2338,2026-04-01,55212,2,49365620,49365620|49369239
2338,2026-04-01,55210,2,49365316,49365316|49366874
2338,2026-04-01,55201,2,49363761,49363761|49365754
2339,2026-04-01,28578,2,49387278,49387278|49399283
2341,2026-04-01,25197,2,49346519,49346519|49349196
2341,2026-04-01,25198,2,49348006,49348006|49349188
2341,2026-04-01,25199,2,49349293,49349293|49349331
2341,2026-04-01,25303,2,49383107,49383107|49383207
2341,2026-04-01,25393,2,49410782,49410782|49410867
2766,2026-04-01,7165,2,49364113,49364113|49375728
2548,2026-04-01,27837,2,49384602,49384602|49384704
2319,2026-04-01,25476,2,49372552,49372552|49372570
2217,2026-04-01,25746,2,49375551,49375551|49375689
2413,2026-04-01,37820,2,49387426,49387426|49387442
2219,2026-04-01,60768,2,49357716,49357716|49358922
2219,2026-04-01,60874,2,49422540,49422540|49422541
2557,2026-04-01,19138,2,49353742,49353742|49360760
2342,2026-04-01,29356,2,49396008,49396008|49396009
2311,2026-04-01,34765,2,49373043,49373043|49377872
2311,2026-04-01,34776,2,49375180,49375180|49375487
2177,2026-04-01,37233,2,49381159,49381159|49381186
2222,2026-04-01,56357,2,49368744,49368744|49376577
2222,2026-04-01,56382,2,49374556,49374556|49379190
2222,2026-04-01,56416,2,49381706,49381706|49384340
2222,2026-04-01,56436,2,49385889,49385889|49389386
2222,2026-04-01,56446,2,49388105,49388105|49392351
2932,2026-04-01,3915,2,49384654,49384654|49384655
2222,2026-03-31,56129,2,49264671,49264671|49270441
2932,2026-03-31,3785,2,49292742,49292742|49292797
2548,2026-03-31,27606,2,49280316,49280316|49281282
2766,2026-03-31,7040,2,49268145,49268145|49280544
2219,2026-03-31,60713,2,49326879,49326879|49326880
2411,2026-03-31,28377,2,49281312,49281312|49282406
2222,2026-03-31,56119,2,49262477,49262477|49271782
2932,2026-03-31,3714,2,49269170,49269170|49269171
2222,2026-03-31,56115,2,49260655,49260655|49265929
2284,2026-03-31,72639,2,49247003,49247003|49247653
2812,2026-03-31,16195,2,49260433,49260433|49260608
